horas_uso,temperatura,distancia_percorrida,carga_equipamento,risco,alto_risco
7,-17.1,32.7,17.8,59.7,0
5,22.4,86.5,25.2,36.8,0
10,-19.6,52.6,99.2,88.7,1
3,35.5,7.4,11.2,15.2,0
11,22.5,65.8,14.3,52.0,0
9,52.4,7.0,19.2,53.0,0
1,13.7,70.9,33.6,20.6,0
8,13.7,36.6,1.3,38.7,0
9,4.1,51.6,62.8,61.3,0
10,6.7,39.9,84.3,64.9,0
1,50.3,99.8,12.9,32.4,0
3,18.7,0.8,46.2,19.1,0
8,4.6,34.3,86.2,57.9,0
8,18.8,59.2,37.4,46.5,0
10,10.5,12.1,5.5,46.0,0
2,72.5,84.5,4.7,49.5,0
12,28.4,92.8,80.0,65.9,0
3,64.5,68.0,59.3,53.2,0
4,63.1,74.6,72.1,59.1,0
2,51.9,53.4,76.1,40.1,0
12,19.7,40.1,72.3,56.9,0
2,28.2,46.8,44.6,21.7,0
10,73.2,1.7,21.7,72.2,1
12,60.6,75.9,62.3,79.9,1
1,41.1,5.1,5.2,10.1,0
7,75.6,51.5,33.3,70.7,1
2,43.0,90.0,0.3,27.5,0
3,78.1,17.5,30.6,49.2,0
2,35.7,82.9,84.0,33.6,0
6,70.9,65.7,1.7,61.0,0
2,32.8,74.2,20.5,22.2,0
3,17.3,87.5,13.9,27.2,0
4,40.9,67.9,65.9,40.5,0
12,-11.0,99.1,76.1,85.8,1
5,61.1,3.8,75.5,51.5,0
2,17.9,89.9,25.4,25.3,0
3,-19.4,80.0,92.7,63.7,0
8,21.9,83.6,42.1,50.9,0
9,-5.9,61.2,54.9,69.1,0
3,-14.0,86.4,78.4,58.5,0
8,73.1,43.6,60.6,76.2,1
6,79.7,52.2,62.0,71.1,1
7,31.5,5.1,83.2,41.2,0
2,-14.1,27.0,44.3,40.5,0
9,22.4,92.7,54.6,58.1,0
12,49.1,85.5,84.0,76.0,1
5,52.6,80.3,72.2,56.1,0
2,26.8,90.6,86.3,34.5,0
4,65.8,85.0,36.3,57.3,0
7,-2.4,23.5,16.9,47.1,0
10,35.7,12.6,89.2,55.8,0
1,-2.9,96.6,11.0,33.6,0
12,67.6,19.9,36.4,72.9,1
9,42.1,21.2,20.6,47.6,0
9,15.3,64.9,18.9,48.6,0
3,60.1,16.1,31.5,38.0,0
10,65.6,78.1,91.1,88.3,1
1,49.7,53.0,91.7,36.7,0
7,6.5,63.7,30.2,48.5,0
5,30.9,30.8,6.2,25.6,0
9,-1.7,29.1,96.6,67.4,0
9,46.2,72.4,66.4,65.2,0
9,67.8,57.3,47.3,76.3,1
12,66.0,87.2,27.7,80.5,1
6,21.0,36.1,0.1,29.4,0
9,30.1,65.3,32.8,50.7,0
1,59.0,71.3,23.4,36.2,0
5,41.8,70.3,19.1,38.5,0
6,-19.2,52.6,95.5,71.9,1
9,79.0,63.1,53.2,83.4,1
6,51.8,38.9,55.2,50.7,0
6,18.5,90.9,56.9,46.2,0
3,53.0,50.4,10.3,34.6,0
3,35.6,12.3,38.3,20.0,0
4,17.8,35.0,47.9,28.4,0
3,56.0,85.5,94.8,54.8,0
3,20.4,81.1,63.8,33.7,0
1,3.6,44.7,82.8,31.7,0
12,48.5,47.8,8.3,58.5,0
5,71.3,57.3,59.3,64.7,0
10,62.7,56.3,99.9,84.2,1
7,8.1,20.8,18.8,39.1,0
5,19.3,52.4,47.6,35.0,0
5,79.2,33.3,83.5,67.5,0
4,13.0,19.9,53.5,28.5,0
7,18.5,19.6,92.0,44.7,0
10,30.6,73.8,63.7,60.6,0
11,56.8,4.6,8.8,58.4,0
11,77.1,40.5,22.6,79.5,1
5,76.1,90.2,80.6,75.6,1
3,7.6,70.0,58.0,36.8,0
12,27.5,87.1,19.7,56.0,0
11,74.2,43.0,38.8,81.7,1
1,-19.5,51.0,91.8,51.3,0
12,45.5,37.6,68.8,63.8,0
1,70.7,96.2,79.7,57.2,0
5,10.1,75.3,25.8,38.8,0
5,-18.3,47.6,85.3,64.9,0
12,-6.3,46.4,49.4,70.3,1
9,78.5,38.4,61.0,80.9,1
6,19.7,63.1,62.8,42.9,0
11,-1.6,13.3,91.5,68.2,0
10,39.0,49.1,26.3,54.3,0
11,34.1,95.0,4.8,55.0,0
4,-11.3,46.8,70.1,53.3,0
9,-19.3,18.3,91.5,78.2,1
4,0.2,4.6,65.1,37.6,0
10,57.0,69.6,96.3,81.4,1
12,12.3,69.0,12.0,54.2,0
7,73.0,31.7,1.9,61.5,0
9,66.5,0.3,81.7,71.9,1
10,17.3,97.8,26.6,58.7,0
2,64.8,26.0,93.9,48.3,0
5,75.0,5.4,11.0,52.5,0
8,44.0,3.6,37.0,44.8,0
10,-16.9,49.2,22.9,74.7,1
9,49.8,67.4,36.5,62.7,0
5,4.5,14.5,36.4,35.5,0
4,4.3,83.5,57.5,45.2,0
3,47.8,3.3,81.6,34.3,0
11,-17.4,79.4,28.9,80.5,1
12,38.2,81.5,22.7,58.0,0
4,1.6,85.1,85.7,51.7,0
11,35.8,0.5,28.3,44.9,0
3,1.9,75.4,17.4,35.7,0
9,68.8,28.9,12.3,67.5,0
1,37.3,6.1,60.7,15.7,0
7,42.0,95.4,51.8,55.3,0
3,28.2,3.1,64.9,22.2,0
5,-7.0,91.6,99.3,65.1,0
6,7.5,76.0,77.1,52.6,0
3,11.9,96.3,56.7,37.3,0
5,64.4,51.4,96.4,64.2,0
8,-4.1,74.9,56.4,66.0,0
2,55.0,66.4,30.6,37.5,0
4,62.4,17.6,85.9,52.1,0
4,64.4,90.4,59.1,60.5,0
12,12.1,94.7,62.7,65.8,0
3,35.7,21.4,81.7,28.0,0
5,72.5,44.2,85.1,67.5,0
3,-11.2,30.7,57.1,44.8,0
3,10.8,43.7,77.0,33.3,0
4,-18.1,11.8,54.4,50.8,0
7,25.0,71.9,82.1,51.1,0
3,13.3,26.8,77.4,28.9,0
4,31.0,53.7,91.2,37.7,0
3,-12.5,72.0,51.2,51.1,0
11,73.7,32.2,88.8,87.2,1
8,60.0,72.9,34.4,66.8,0
11,19.9,85.3,18.8,55.6,0
10,13.0,41.6,52.5,55.6,0
3,79.3,51.2,48.8,57.0,0
5,5.4,64.1,12.2,38.6,0
11,41.5,76.3,9.0,57.7,0
3,23.6,28.3,80.7,28.4,0
9,74.3,10.0,16.3,69.4,0
6,10.3,9.3,88.1,42.1,0
1,11.7,5.3,75.5,18.6,0
12,8.9,39.9,13.3,52.6,0
10,63.8,65.1,46.4,78.3,1
6,60.9,23.4,4.2,47.6,0
3,26.1,47.5,52.8,27.0,0
1,69.2,18.7,40.1,38.5,0
5,14.5,43.4,77.9,38.6,0
4,41.2,97.9,59.4,44.2,0
12,32.0,10.4,28.5,45.8,0
5,2.6,11.4,34.3,36.2,0
5,69.6,40.0,24.8,55.7,0
6,21.6,19.5,37.1,32.5,0
10,-0.1,92.3,75.4,76.5,1
11,-3.5,24.0,77.4,69.1,0
7,65.5,57.6,56.0,67.9,0
9,59.5,66.8,40.9,70.5,1
10,3.7,20.5,27.4,55.7,0
11,31.1,80.6,85.9,65.0,0
8,37.2,64.1,60.8,52.4,0
2,66.7,84.0,1.3,44.6,0
11,49.4,17.0,45.6,60.2,0
8,38.0,13.7,7.8,37.5,0
2,-9.2,63.1,18.4,38.4,0
7,43.1,42.4,69.9,50.9,0
5,60.6,8.7,10.9,42.1,0
12,25.0,75.7,32.8,56.3,0
11,71.4,39.2,6.4,74.1,1
10,11.4,21.0,12.8,47.8,0
12,54.7,34.4,4.2,60.6,0
7,29.4,38.3,89.3,47.1,0
10,-8.3,69.4,30.7,72.5,1
11,35.3,72.7,92.2,65.0,0
12,79.9,65.5,27.0,83.9,1
8,28.2,1.1,41.8,38.4,0
1,77.7,57.9,23.2,46.2,0
3,26.0,57.0,74.8,31.8,0
5,8.0,12.4,16.2,29.5,0
4,75.7,99.5,22.6,64.3,0
12,64.4,24.5,47.8,72.9,1
11,65.2,95.6,19.4,79.9,1
6,34.8,83.8,51.5,44.3,0
4,7.8,46.8,60.5,37.5,0
12,16.9,57.7,69.9,59.1,0
